epochs steps out_loss offset_loss train_accuracy time
7 36 0.152 2.767 0.939 243.207
7 37 0.065 3.001 0.982 243.591
7 38 0.350 2.665 0.845 243.813
7 39 0.232 2.830 0.924 244.011
7 40 0.500 3.369 0.870 244.450
7 41 0.243 2.027 0.922 244.702
7 42 0.326 1.948 0.889 244.888
7 43 0.141 2.264 0.950 245.117
7 44 0.254 2.440 0.874 245.370
7 45 0.208 1.975 0.924 245.556
7 46 0.270 2.338 0.871 245.841
7 47 0.243 2.689 0.899 246.176
7 48 0.158 2.840 0.928 246.505
7 49 0.229 2.101 0.922 246.725
7 50 0.138 2.860 0.947 247.102
7 51 0.181 2.895 0.932 247.449
7 52 0.132 2.790 0.949 247.767
7 53 0.184 2.657 0.916 248.104
7 54 0.177 2.384 0.928 248.365
7 55 0.202 2.368 0.935 248.676
7 56 0.150 2.316 0.942 248.949
7 57 0.145 2.836 0.958 249.264
7 58 0.183 2.002 0.954 249.453
7 59 0.237 2.274 0.893 249.671
7 60 0.190 2.917 0.925 250.005
7 61 0.222 2.642 0.914 250.303
7 62 0.172 2.912 0.933 250.719
7 63 0.256 1.960 0.900 250.952
7 64 0.254 3.819 0.943 251.244
7 65 0.140 2.754 0.948 251.663
7 66 0.136 2.546 0.952 251.984
7 67 0.238 2.458 0.900 252.252
7 68 0.158 2.915 0.939 252.603
7 69 0.124 2.712 0.950 252.994
7 70 0.325 2.258 0.893 253.151
7 71 0.133 2.715 0.951 253.510
7 72 0.216 2.488 0.905 253.802
7 73 0.348 2.082 0.852 254.052
7 74 0.212 3.036 0.909 254.399
8 0 0.183 2.789 0.935 263.714
8 1 0.160 2.493 0.941 264.052
8 2 0.211 2.989 0.927 264.310
8 3 0.181 2.219 0.925 264.518
8 4 0.158 2.346 0.935 264.828
8 5 0.181 1.930 0.938 265.076
8 6 0.216 3.005 0.921 265.344
8 7 0.220 2.634 0.893 265.690
8 8 0.131 2.936 0.949 266.061
8 9 0.128 2.738 0.951 266.478
8 10 0.178 1.927 0.936 266.744
